SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,PSP-Alexandrium_spp.CellsL-1,DSP-DinophysiaceaeCellsL-1,DSP-ProrocentrumLimaCellsL-1,ASP-Pseudo-nitzschia_spp.CellsL-1,YessotoxinLingulodiniumPolyedrumCellsL-1,YessotoxinProtoceratiumReticulatumCellsL-1,VenerupinProrocentrumCordatumCellsL-1
216/23,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2023-04-12,ND,ND,ND,2600,ND,ND,ND
217/23,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2023-04-12,ND,ND,ND,2000,ND,ND,ND
219/23,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,2023-04-17,ND,300,ND,44400,ND,ND,ND
220/23,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,2023-04-17,ND,ND,ND,ND,ND,ND,ND
222/23,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2023-04-17,ND,40,ND,640,ND,ND,ND
223/23,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,2023-04-17,ND,ND,ND,80,ND,ND,ND
224/23,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,2023-04-17,ND,ND,ND,ND,ND,ND,100
225/23,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2023-04-17,ND,ND,ND,ND,ND,ND,ND
226/23,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,2023-04-17,ND,ND,ND,400,ND,ND,ND
227/23,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,2023-04-17,ND,ND,ND,ND,ND,ND,ND
228/23,Roach,B73AF,London PHA,TQ94909207,Paglesham,2023-04-17,ND,ND,100,ND,ND,ND,ND
229/23,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,2023-04-17,ND,ND,ND,ND,ND,ND,ND
230/23,Car y Mor,B097D,Pembrokeshire CC,SM72582343,Porthllishy,2023-04-17,ND,ND,ND,ND,ND,ND,ND
231/23,Dart,B028B,South Hams DC,SX87415599,Waddeton,2023-04-17,ND,ND,ND,ND,ND,ND,ND
232/23,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2023-04-17,ND,ND,ND,1600,ND,ND,ND
233/23,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,2023-04-17,ND,ND,ND,520,ND,ND,ND
234/23,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,2023-04-17,ND,ND,ND,9200,ND,ND,ND
235/23,Brixham,B082C,Torbay BC,SX93996191,Torquay Mussels NW,2023-04-17,ND,ND,ND,9300,ND,ND,ND
236/23,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2023-04-18,not tested,not tested,not tested,not tested,not tested,not tested,not tested
237/23,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,2023-04-18,ND,ND,ND,ND,ND,ND,ND
238/23,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2023-04-18,ND,ND,ND,800,ND,ND,ND
239/23,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,2023-04-18,ND,ND,ND,ND,ND,ND,ND
240/23,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,2023-04-17,ND,ND,ND,8200,ND,ND,ND
241/23,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,2023-04-18,ND,ND,ND,400,ND,ND,ND
242/23,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,2023-04-19,ND,ND,ND,ND,ND,ND,ND
243/23,Walton Backwaters,B011Q,Tendring DC,TM24272367,Twizzle,2023-04-19,ND,ND,ND,ND,ND,ND,ND
244/23,Burry Inlet,B38AL,City and Council of Swansea,SS51639603,Salthouse Pill,2023-04-19,ND,ND,ND,ND,ND,ND,ND
245/23,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2023-04-19,not tested,not tested,not tested,not tested,not tested,not tested,not tested
246/23,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,2023-04-20,ND,ND,ND,ND,ND,ND,ND
248/23,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2023-04-20,ND,ND,ND,ND,ND,ND,ND
249/23,Conwy,B044V,Conwy CBC,SH76317972,Conwy West,2023-04-20,ND,ND,ND,1100,ND,ND,ND
250/23,Morecambe Bay - East,B047S,Lancaster CC,SD40436256,Heysham,2023-04-19,ND,ND,ND,16400,ND,ND,ND
251/23,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2023-04-20,ND,ND,ND,ND,ND,ND,ND
252/23,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,2023-04-19,ND,ND,ND,160,ND,ND,ND
253/23,Porlock Relay,B094E,Somerset West and Taunton Council,SS87184778,Porlock Relay,2023-04-20,ND,ND,ND,ND,ND,ND,ND
254/23,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,2023-04-24,ND,ND,ND,ND,ND,ND,ND
255/23,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2023-04-24,100,ND,ND,ND,ND,ND,ND
256/23,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,2023-04-24,ND,ND,ND,400,ND,ND,ND
257/23,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2023-04-24,ND,ND,ND,200,ND,ND,ND
258/23,Porlock Relay,B094E,Somerset West and Taunton Council,SS87184778,Porlock Relay,2023-04-24,ND,ND,ND,ND,ND,ND,ND
259/23,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,2023-04-25,ND,40,ND,27080,ND,ND,ND
260/23,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,2023-04-25,ND,ND,ND,ND,ND,ND,ND
261/23,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,2023-04-25,not tested,not tested,not tested,not tested,not tested,not tested,not tested
262/23,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2023-04-25,200,ND,ND,ND,ND,ND,ND
263/23,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2023-04-25,ND,ND,ND,ND,ND,ND,ND
264/23,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,2023-04-25,ND,ND,ND,ND,ND,ND,ND
265/23,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2023-04-25,ND,ND,ND,2500,ND,ND,ND
266/23,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2023-04-25,ND,ND,ND,11200,ND,ND,ND
267/23,Taw/Torridge,B036V,Torridge DC,SS46403160,Neck Gut 1,2023-04-25,ND,40,ND,320,ND,ND,ND
268/23,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,2023-04-26,ND,ND,ND,400,ND,ND,ND
270/23,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,2023-04-26,ND,ND,ND,ND,ND,ND,ND
271/23,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,2023-04-25,ND,ND,ND,ND,ND,ND,ND
272/23,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,2023-04-25,ND,ND,ND,ND,ND,ND,ND
273/23,Walton Backwaters,B011Q,Tendring DC,TM24272367,Twizzle,2023-04-26,ND,ND,ND,ND,ND,ND,ND
274/23,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,2023-05-02,ND,ND,ND,ND,ND,ND,ND
275/23,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2023-05-02,ND,200,ND,3000,ND,ND,ND
276/23,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2023-05-02,ND,40,ND,5240,ND,ND,ND
277/23,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,2023-05-02,ND,40,ND,21960,ND,ND,ND
278/23,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2023-05-02,ND,40,ND,17760,ND,ND,ND
279/23,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,2023-05-02,ND,ND,ND,440,ND,ND,ND
280/23,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,2023-05-01,ND,ND,ND,320,ND,ND,ND
281/23,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,2023-05-02,ND,ND,ND,4200,ND,ND,ND
283/23,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2023-05-02,ND,ND,ND,ND,ND,ND,ND
285/23,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,2023-05-03,ND,200,ND,19480,ND,ND,40
286/23,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,2023-05-02,ND,ND,ND,ND,ND,ND,ND
287/23,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2023-05-02,ND,ND,ND,ND,ND,ND,ND
288/23,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,2023-05-03,ND,ND,ND,2480,ND,ND,ND
289/23,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2023-05-03,ND,ND,ND,8080,ND,ND,ND
290/23,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,2023-05-03,ND,ND,ND,480,ND,ND,ND
291/23,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,2023-05-03,ND,80,ND,480,ND,ND,ND
292/23,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,2023-05-04,ND,ND,ND,400,ND,ND,ND
293/23,Morecambe Bay - East,B047S,Lancaster CC,SD40436256,Heysham,2023-05-03,ND,ND,ND,8600,ND,ND,ND
294/23,Roach,B73AF,London PHA,TQ94909207,Paglesham,2023-05-04,ND,ND,ND,ND,ND,ND,ND
295/23,Car y Mor,B097D,Pembrokeshire CC,SM72582343,Porthllishy,2023-05-02,ND,80,ND,240,ND,ND,ND
296/23,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,2023-05-04,ND,ND,ND,2600,ND,ND,ND
297/23,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2023-05-04,not tested,not tested,not tested,not tested,not tested,not tested,not tested
298/23,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,2023-05-09,ND,ND,14000,63400,ND,ND,ND
299/23,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,2023-05-09,ND,ND,ND,ND,ND,ND,ND
300/23,Fal (Lower),B33AN,Cornwall PHA,SW81963551,Mylor Creek,2023-05-09,ND,100,ND,ND,ND,ND,ND
301/23,Fal (Upper),B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,2023-05-09,ND,ND,ND,400,ND,ND,ND
302/23,Fal (Upper),B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2023-05-09,ND,ND,ND,1000,ND,ND,ND
303/23,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2023-05-09,ND,ND,ND,1800,ND,ND,ND
304/23,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,2023-05-09,ND,ND,ND,ND,ND,ND,ND
305/23,The Wash,B003V,Boston BC,TF44234098,Toft,2023-05-09,ND,ND,ND,ND,ND,ND,ND
306/23,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2023-05-10,ND,ND,ND,4200,ND,ND,ND
307/23,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,2023-05-10,ND,160,ND,13840,ND,ND,ND
308/23,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2023-05-10,ND,ND,ND,14280,ND,ND,ND
309/23,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2023-05-10,ND,ND,ND,ND,ND,ND,ND
310/23,Porlock Relay,B094E,Somerset West and Taunton Council,SS87184778,Porlock Relay,2023-05-10,ND,ND,ND,ND,ND,ND,ND
311/23,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2023-05-10,ND,ND,ND,5800,ND,ND,ND
312/23,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2023-05-10,ND,ND,ND,600,ND,ND,ND
313/23,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,2023-05-09,ND,40,ND,3320,ND,ND,ND
314/23,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,2023-05-11,ND,ND,ND,9760,ND,ND,ND
315/23,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,2023-05-10,ND,ND,ND,600,ND,ND,ND
316/23,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,2023-05-10,ND,ND,ND,800,ND,ND,ND
317/23,Swale,B076P,Swale BC,TR01316497,The Causeway,2023-05-11,ND,ND,ND,1600,ND,ND,ND
318/23,Blakeney,B006R,North Norfolk DC,TF91804549,Wells - The Pool,2023-05-11,ND,ND,ND,ND,ND,ND,ND
319/23,Taw/Torridge,B036V,Torridge DC,SS46403160,Neck Gut 1,2023-05-11,400,ND,ND,400,ND,ND,ND
320/23,The Wash,B04AP,Kings Lynn & W Norfolk BC,TF65963701,Stubborn Sand,2023-05-10,ND,ND,ND,ND,ND,ND,ND
321/23,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,2023-05-15,ND,ND,ND,200,ND,ND,ND
323/23,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,2023-05-15,ND,ND,ND,10360,ND,ND,ND
324/23,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,2023-05-15,ND,ND,ND,6800,ND,ND,ND
325/23,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,2023-05-15,ND,ND,80,ND,ND,ND,ND
326/23,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,2023-05-15,ND,ND,ND,2800,ND,ND,ND
327/23,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,2023-05-15,ND,ND,ND,ND,ND,ND,ND
328/23,Dart,B028B,South Hams DC,SX87415599,Waddeton,2023-05-15,ND,ND,ND,2200,ND,ND,ND
329/23,Dee,B45AG,Wirral BC,SJ21468468,West Kirby,2023-05-15,not tested,not tested,not tested,not tested,not tested,not tested,not tested
330/23,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,2023-05-15,ND,ND,ND,ND,ND,ND,ND
331/23,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2023-05-16,ND,ND,ND,800,ND,ND,ND
333/23,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2023-05-16,ND,ND,ND,ND,ND,ND,ND
334/23,Car y Mor,B097D,Pembrokeshire CC,SM72582343,Porthllishy,2023-05-16,ND,40,ND,244000,ND,ND,ND
335/23,Start Bay,B087I,South Hams DC,SX84724671,Off Strete,2023-05-16,ND,ND,ND,14160,ND,ND,ND
336/23,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,2023-05-15,ND,120,ND,1680,ND,ND,ND
337/23,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,2023-05-16,ND,200,ND,200,ND,ND,ND
338/23,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,2023-05-17,ND,ND,ND,15600,ND,ND,ND
339/23,Morecambe Bay - East,B047S,Lancaster CC,SD40436256,Heysham,2023-05-16,not tested,not tested,not tested,not tested,not tested,not tested,not tested
340/23,Roach,B73AF,London PHA,TQ94909207,Paglesham,2023-05-17,ND,ND,ND,ND,ND,ND,ND
341/23,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,2023-05-17,ND,ND,ND,4480,ND,ND,ND
342/23,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,2023-05-16,ND,ND,ND,55000,ND,ND,ND
343/23,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2023-05-17,ND,ND,ND,520,ND,ND,ND
344/23,Portsmouth Harbour,B020H,Portsmouth PHA,SU62850544,Paulsgrove,2023-05-16,ND,ND,ND,2640,ND,ND,ND
345/23,Bigbury upon Avon,B030J,South Hams DC,SX67114467,South Hexdown North,2023-05-17,ND,ND,ND,ND,ND,ND,ND
346/23,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2023-05-17,ND,ND,ND,4000,ND,ND,ND
347/23,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,2023-05-17,ND,ND,ND,3400,ND,ND,ND
348/23,Brixham,B082B,Torbay BC,SX90965741,Fishcombe SW Corner,2023-05-17,ND,ND,ND,7400,ND,ND,ND
349/23,Taw/Torridge,B036V,Torridge DC,SS46403160,Neck Gut 1,2023-05-16,100,100,ND,1300,ND,ND,ND
351/23,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,2023-05-16,ND,ND,ND,ND,ND,ND,ND
352/23,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2023-05-18,ND,ND,ND,ND,ND,ND,ND
353/23,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,2023-05-22,ND,ND,ND,ND,ND,ND,ND
354/23,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,2023-05-22,ND,ND,ND,4200,ND,ND,ND
355/23,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2023-05-22,40,ND,ND,640,ND,ND,ND
356/23,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2023-05-22,100,ND,ND,4300,ND,ND,ND
357/23,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,2023-05-22,ND,120,ND,9880,ND,ND,ND
358/23,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2023-05-22,ND,120,ND,7680,ND,ND,ND
359/23,Brancaster,B05AS,Kings Lynn & W Norfolk BC,TF79884539,Norton Creek Mussels,2023-05-22,ND,ND,ND,ND,ND,ND,ND
360/23,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2023-05-21,ND,ND,ND,ND,ND,ND,ND
361/23,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2023-05-22,ND,ND,ND,ND,ND,ND,ND
362/23,Porlock Relay,B094E,Somerset Council,SS87184778,Porlock Relay,2023-05-22,ND,ND,ND,800,ND,ND,ND
363/23,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,2023-05-23,ND,200,ND,100400,ND,ND,ND
364/23,Burry Inlet,B38AL,City and Council of Swansea,SS51639603,Salthouse Pill,2023-05-23,ND,ND,ND,3600,ND,ND,ND
365/23,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2023-05-23,ND,ND,ND,800,ND,ND,ND
366/23,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2023-05-23,ND,ND,ND,ND,ND,ND,ND
367/23,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,2023-05-22,40,160,ND,2560,ND,ND,ND
368/23,Taw/Torridge,B036V,Torridge DC,SS46403160,Neck Gut 1,2023-05-23,ND,280,ND,1080,ND,ND,ND
369/23,Anglesey East,B104A,Ynys Mon CC,SH67528109,Anglesey Mussels,2023-05-23,ND,ND,ND,200,ND,ND,ND
370/23,Walton Backwaters,B011Q,Tendring DC,TM24272367,Twizzle,2023-05-24,ND,ND,ND,ND,ND,ND,ND
371/23,Fal (Lower),B33AN,Cornwall PHA,SW81963551,Mylor Creek,2023-05-25,ND,ND,ND,2320,ND,ND,ND
372/23,Fal (Upper),B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,2023-05-25,ND,ND,ND,800,ND,ND,ND
373/23,Fal (Upper),B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2023-05-25,ND,ND,ND,640,ND,ND,ND
374/23,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,2023-05-25,ND,160,ND,7720,ND,ND,ND
375/23,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,2023-05-25,ND,ND,ND,2800,ND,ND,ND
376/23,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,2023-05-25,ND,ND,ND,ND,ND,ND,ND
377/23,North Kent Coast ,B17CR,London PHA,TR32937761,N. Margate and Pan Sand TECFO 15 ,2023-05-25,ND,ND,ND,ND,ND,ND,ND
378/23,Dart,B028B,South Hams DC,SX87415599,Waddeton,2023-05-25,ND,ND,ND,7400,ND,ND,ND
379/23,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,2023-05-30,200,ND,ND,71400,ND,ND,ND
380/23,West Mersea,B013Z,Colchester BC,TM00001301,The Hard,2023-05-30,ND,ND,ND,ND,ND,ND,ND
382/23,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2023-05-30,ND,240,ND,13240,ND,ND,ND
383/23,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,2023-05-30,ND,900,ND,15300,ND,ND,ND
384/23,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2023-05-30,ND,320,ND,12920,ND,ND,ND
385/23,Butley,B009E,East Suffolk DC,TM39434850,Pumping Station Outfall,2023-05-30,ND,ND,ND,ND,ND,ND,ND
386/23,Car y Mor,B097D,Pembrokeshire CC,SM72582343,Porthllisky,2023-05-30,ND,ND,ND,85120,ND,ND,ND
387/23,Morecambe Bay - Barrow,B077Q,Barrow-in-Furness BC,SD23116464,Roa Island,2023-05-31,ND,40,ND,320,ND,ND,ND
388/23,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,2023-05-31,ND,ND,ND,800,ND,ND,ND
390/23,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2023-05-31,not tested,not tested,not tested,not tested,not tested,not tested,not tested
391/23,Morecambe Bay - East,B047S,Lancaster CC,SD40436256,Heysham,2023-05-31,ND,ND,ND,ND,ND,ND,ND
392/23,Taw/Torridge,B036V,Torridge DC,SS46403160,Neck Gut 1,2023-05-30,ND,ND,ND,480,ND,ND,ND
393/23,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2023-06-01,ND,ND,ND,13600,ND,ND,ND
394/23,Roach,B73AF,London PHA,TQ94909207,Paglesham,2023-06-01,ND,ND,ND,ND,ND,ND,ND
395/23,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,2023-06-05,ND,ND,ND,ND,ND,ND,ND
396/23,Burry Inlet,B038Y,Carmarthenshire CC,SS50209860,Machynys,2023-06-05,ND,ND,ND,30900,ND,ND,ND
397/23,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2023-06-05,ND,ND,ND,ND,ND,ND,ND
399/23,Lantivet Bay,B70AI,Cornwall PHA,SX16305094,Sandheap Point,2023-06-05,ND,120,ND,6920,ND,ND,ND
400/23,Mevagissey Bay,B70AK,Cornwall PHA,SX05214698,South Mevagissey Bottom,2023-06-05,ND,1000,ND,12080,ND,ND,ND
401/23,St Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2023-06-05,ND,520,ND,11520,ND,ND,ND
402/23,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2023-06-05,ND,ND,ND,ND,ND,ND,ND
403/23,Holy Island-Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2023-06-04,ND,ND,ND,ND,ND,ND,ND
404/23,Dart,B028B,South Hams DC,SX87415599,Waddeton,2023-06-05,ND,ND,ND,600,ND,ND,ND
405/23,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2023-06-05,ND,ND,ND,9000,ND,ND,ND
406/23,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,2023-06-05,ND,ND,ND,21400,ND,ND,ND
407/23,Dee,B45AG,Wirral BC,SJ21468468,West Kirby,2023-06-05,ND,ND,ND,3600,ND,ND,ND
408/23,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,2023-06-05,ND,ND,ND,4800,ND,ND,ND
409/23,Poole,B54CI,"Bournemouth, Poole and Christchurch Council",SZ01818871,West Brownsea 1,2023-06-06,ND,ND,ND,11400,ND,ND,ND
410/23,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,2023-06-06,ND,ND,ND,80,ND,ND,ND
411/23,The Thames,B16CN,London PHA,TR06779599,Crouch Approach,2023-06-06,ND,ND,ND,400,ND,ND,ND
412/23,The Thames,B16CM,London PHA,TR00508769,East of Havengore Creek,2023-06-06,ND,ND,ND,ND,ND,ND,ND
413/23,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2023-06-06,ND,ND,ND,400,ND,ND,ND
414/23,Car y Mor,B097D,Pembrokeshire CC,SM72582343,Porthllishy,2023-06-06,ND,ND,ND,8520,ND,ND,ND
415/23,Milford Haven,B39CZ,Pembrokeshire CC,SM89000275,Tethys Oyster,2023-06-06,40,ND,ND,4360,ND,ND,ND
416/23,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,2023-06-06,ND,200,ND,ND,ND,ND,ND
418/23,The Wash,B003V,Boston BC,TF44234098,Toft,2023-06-06,ND,ND,ND,ND,ND,ND,ND
419/23,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,2023-06-06,ND,ND,ND,4560,ND,ND,ND
420/23,Fal (Lower),B33AN,Cornwall PHA,SW81963551,Mylor Creek,2023-06-06,ND,280,ND,880,ND,ND,ND
421/23,Fal (Upper),B033Y,Cornwall PHA,SW85024095,Ruan Pontoon/Tregothnan,2023-06-06,ND,200,ND,3200,ND,ND,ND
422/23,Fal (Upper),B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2023-06-06,ND,ND,ND,2900,ND,ND,ND
423/23,Porthallow Cove,B34AA,Cornwall PHA,SW80212383,Porthallow North,2023-06-07,ND,480,ND,14360,ND,ND,ND
424/23,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats,2023-06-06,ND,ND,ND,ND,ND,ND,ND
425/23,Porlock Relay,B094E,Somerset Council,SS87184778,Porlock Relay,2023-06-07,ND,ND,ND,1800,ND,ND,ND
426/23,Swale,B076P,Swale BC,TR01316497,The Causeway,2023-06-07,ND,ND,ND,ND,ND,ND,ND
427/23,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2023-06-07,ND,ND,ND,1400,ND,ND,ND
428/23,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2023-06-07,ND,ND,ND,880,ND,ND,ND
429/23,Lyme Bay,B090M,Torbay BC,UNVERIFIED,Site 1,2023-06-05,520,120,ND,8760,ND,ND,ND
430/23,Taw/Torridge,B036V,Torridge DC,SS46403160,Neck Gut 1,2023-06-06,ND,120,ND,ND,ND,ND,ND
431/23,Menai Strait East,B055S,Gwynedd CC,SH58337328,West of Bangor Pier,2023-06-07,ND,ND,ND,1800,ND,ND,ND
432/23,Menai Strait West,B042O,Gwynedd CC,SH49916579,Area 11 East,2023-06-08,ND,ND,ND,800,ND,ND,ND
433/23,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2023-06-08,ND,ND,ND,ND,ND,ND,ND
434/23,Lune,BO66Z,Wyre BC,SD34194862,Knott Spit,2023-06-09,ND,ND,ND,ND,ND,ND,ND
436/23,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2023-06-12,100,600,ND,14400,ND,ND,ND
